product,kubun,note
アレグラFX,＊対象外,"アレグラFX：Fexofenadineの頭文字「F」、（効き目Effectや、素早くFast届くという意味も）｡「X」は、「未知数、究極、進化」
        アレグラの授乳の件は典型例で、処方薬の添付文書には「治療上の有益性が危険性を上回ると判断される場合にのみ」という定型文が入っていますが、実臨床ではL1（最も安全）に分類されていてほぼ無条件で使える薬。ただし、OTCにおいては「添付文書の文言に忠実」であることが、単なる保守的姿勢ではなく、説明責任の観点から合理的な選択
        「アレグラFXプレミアム」：2025年秋発売、血管収縮剤のプソイドエフェドリン塩酸塩が追加配合(指定濫用対象)｡医療用のディレグラ配合錠と同様､ 閉塞隅角緑内障であれば禁忌"
新コンタック鼻炎Z,＊対象外,"新コンタック鼻炎Z：コンタックブランドの中で唯一､指定濫用成分含まない｡
        セチリジン（第2世代）が寝る前1回持続。ただし、セチリジン塩酸塩は「妊婦又は妊娠している可能性のある婦人（禁忌）」と添付に明記
        　その他「600プラス/総合かぜ薬/かぜ総合DX/かぜ総合/せき止めダブル/総合感冒薬EX」等、総じて指定濫用成分含む"
トラベルミンR,＊対象外,"""トラベルミンR：「眠くなりにくい（Reduce somnolence）」or「リフレッシュ（Refresh）」に由来とされる。
        Rはジフェニドールが主役で、制限対象のジフェンヒドラミンが含まれない。「旅行を楽しめるように」との意図も｡ただし､11才未満は服用不可
        ＊市販無印トラベルミン錠(医療用と同成分)はジフェンヒドラミン含むため、販売制限対象。（15才から服用可）
        　　参考:トラベルミン・ジュニア：成分量を大人の半分にカットし、5才〜14才専用として販売
　　　　　　ﾄﾗﾍﾞﾙﾐﾝ「1」は問題なし(メクリジン ＋ スコポラミン｡15歳から)｡『ファミリー』は、『1』の成分量を半分にした同一レシピ製品､5歳から。"
